sample_id,total_peak_area,energy_shift_eV,bg_offset,bg_linear_slope,bg_shirley_ratio,bg_quadratic,noise_count_scale,noise_gaussian_sigma,area_frac_CC_CH,area_frac_CO,area_frac_OCO
PET_022,106897.153,-0.0359,454.338,0.9788,0.05706,-0.19775,1.2051,15.647,0.63428,0.20784,0.15788
PET_023,57133.384,0.0155,490.537,7.7208,0.05039,-0.29676,1.2555,18.595,0.52965,0.29399,0.17636
PET_024,93107.999,0.0842,686.977,4.6956,0.04785,-0.49974,1.054,8.408,0.54435,0.28103,0.17461
PET_025,93885.376,0.0097,664.802,-5.4187,0.04251,0.09864,1.5092,15.011,0.47435,0.27027,0.25539
PET_026,29829.577,-0.0367,361.235,2.7637,0.05423,-0.304,1.0531,24.709,0.51109,0.31617,0.17274
PET_027,91573.991,-0.0445,419.119,-7.2279,0.03637,-0.41092,1.1601,8.008,0.5213,0.28294,0.19576
PET_028,50191.049,-0.0633,686.407,-4.3964,0.04638,0.00934,0.966,16.652,0.6063,0.31973,0.07397
PET_029,97958.969,0.0106,568.371,-4.3194,0.03512,0.48983,1.3896,20.484,0.53202,0.33475,0.13323
PET_030,88835.923,0.0123,505.475,-6.8328,0.05365,-0.16464,1.0226,17.628,0.59853,0.23482,0.16665
PET_031,88706.803,0.0758,617.329,-6.4031,0.05677,0.11881,1.3433,10.189,0.51179,0.20574,0.28247
PET_032,67396.037,-0.0358,385.636,-3.5345,0.05539,0.11257,1.2057,12.25,0.44573,0.35954,0.19473
PET_033,128863.663,0.2415,734.752,1.6543,0.03373,0.01652,1.4537,9.297,0.44648,0.37943,0.17409
PET_034,72884.449,0.0606,737.856,4.9869,0.04648,-0.24423,1.0928,22.408,0.47024,0.33843,0.19133
PET_035,69890.532,-0.018,462.604,0.558,0.03642,-0.31031,1.1696,8.071,0.51138,0.32026,0.16836
PET_036,100425.132,0.0394,386.581,2.9551,0.04254,-0.39078,0.8112,12.17,0.52216,0.28852,0.18932
PET_037,106284.95,0.0813,674.67,5.1046,0.04495,-0.44835,0.9456,18.562,0.50902,0.31456,0.17642
PET_038,91734.337,-0.0577,747.436,-0.9059,0.0416,0.45004,0.8946,18.682,0.46491,0.30017,0.23492
PET_039,87546.979,0.0325,519.708,1.1641,0.03915,0.49474,1.3969,14.143,0.49852,0.32298,0.1785
PET_040,77752.026,0.0651,411.335,-5.3889,0.03649,0.30316,1.168,14.316,0.51221,0.33934,0.14845
PET_041,94599.281,-0.0003,368.794,-5.4957,0.03228,-0.09052,1.5456,17.15,0.40991,0.33458,0.25551
PET_042,97580.42,0.0233,638.46,-2.8626,0.05874,-0.36135,1.5649,18.083,0.37887,0.37758,0.24355
PET_043,102774.745,0.0771,443.587,4.4992,0.03443,0.37752,0.9843,17.696,0.44299,0.29834,0.25867
PET_044,80355.197,0.0226,622.028,6.5211,0.04699,0.00804,1.132,16.279,0.42899,0.33312,0.23789
PET_045,83343.055,-0.0256,322.853,1.2139,0.0458,0.03594,1.1273,14.505,0.4256,0.34036,0.23404
PET_046,100042.749,0.1071,305.061,-0.5554,0.04882,0.22609,0.8421,10.358,0.51578,0.28957,0.19465
PET_047,114508.016,-0.0118,404.571,-0.5148,0.05045,-0.17464,1.0272,13.127,0.46553,0.32491,0.20956
PET_048,81836.286,-0.0107,468.538,-3.468,0.05249,0.10466,1.3691,8.728,0.45001,0.33293,0.21706
PET_049,109145.631,-0.09,487.377,5.9981,0.03606,-0.35658,0.9251,13.026,0.50345,0.30553,0.19102
PET_050,76131.887,0.006,352.755,-2.2647,0.04785,0.09933,1.1285,10.488,0.4842,0.28333,0.23248
