sample_id,component,center_eV,area,area_fraction,fwhm_eV,eta
PET_033,C-O,286.5852,48894.469,0.37943,1.2648,0.3481
PET_033,O-C=O,288.884,22433.926,0.17409,1.1716,0.2091
PET_034,C-C_C-H,284.8312,34273.281,0.47024,1.3011,0.2943
PET_034,C-O,286.363,24666.08,0.33843,1.2875,0.3092
PET_034,O-C=O,288.652,13945.089,0.19133,1.3448,0.2489
PET_035,C-C_C-H,284.7279,35740.806,0.51138,1.5374,0.2246
PET_035,C-O,286.3139,22383.24,0.32026,1.3595,0.4407
PET_035,O-C=O,288.6081,11766.486,0.16836,1.3138,0.395
PET_036,C-C_C-H,284.9061,52438.385,0.52216,1.5133,0.3887
PET_036,C-O,286.4791,28974.559,0.28852,1.4067,0.2352
PET_036,O-C=O,288.6648,19012.189,0.18932,1.3927,0.3634
PET_037,C-C_C-H,284.9654,54101.136,0.50902,1.3793,0.4012
PET_037,C-O,286.3623,33432.694,0.31456,1.5303,0.3767
PET_037,O-C=O,288.5517,18751.12,0.17642,1.5527,0.3085
PET_038,C-C_C-H,284.7601,42648.046,0.46491,1.4858,0.4314
PET_038,C-O,286.1851,27536.055,0.30017,1.3016,0.4915
PET_038,O-C=O,288.546,21550.236,0.23492,1.4974,0.3896
PET_039,C-C_C-H,284.8156,43643.519,0.49852,1.1306,0.2238
PET_039,C-O,286.3058,28276.325,0.32298,1.0174,0.3101
PET_039,O-C=O,288.7244,15627.135,0.1785,1.0089,0.4194
PET_040,C-C_C-H,284.8325,39825.376,0.51221,0.9858,0.437
PET_040,C-O,286.3731,26384.688,0.33934,1.0597,0.4411
PET_040,O-C=O,288.7094,11541.962,0.14845,1.1474,0.4842
PET_041,C-C_C-H,284.7493,38776.999,0.40991,1.303,0.4002
PET_041,C-O,286.2734,31650.924,0.33458,1.0459,0.2657
PET_041,O-C=O,288.6209,24171.357,0.25551,1.1265,0.3477
PET_042,C-C_C-H,284.8839,36970.56,0.37887,1.391,0.3619
PET_042,C-O,286.352,36844.423,0.37758,1.4317,0.2554
PET_042,O-C=O,288.8581,23765.437,0.24355,1.3753,0.4975
PET_043,C-C_C-H,284.9516,45528.042,0.44299,1.2936,0.3325
PET_043,C-O,286.4348,30661.585,0.29834,1.3224,0.2542
PET_043,O-C=O,288.7829,26585.118,0.25867,1.2541,0.225
PET_044,C-C_C-H,284.669,34471.87,0.42899,1.2676,0.2939
PET_044,C-O,286.2831,26767.784,0.33312,1.337,0.2675
PET_044,O-C=O,288.7078,19115.544,0.23789,1.1146,0.428
PET_045,C-C_C-H,284.6879,35470.721,0.4256,1.4954,0.3058
PET_045,C-O,286.2541,28366.526,0.34036,1.3421,0.332
PET_045,O-C=O,288.7701,19505.808,0.23404,1.2817,0.3122
PET_046,C-C_C-H,284.8707,51600.072,0.51578,1.3002,0.3082
PET_046,C-O,286.3911,28969.849,0.28957,1.2109,0.4139
PET_046,O-C=O,288.8659,19472.828,0.19465,1.2984,0.2514
PET_047,C-C_C-H,284.7687,53307.391,0.46553,1.1018,0.3848
PET_047,C-O,286.4362,37204.895,0.32491,1.1492,0.2804
PET_047,O-C=O,288.7608,23995.73,0.20956,1.092,0.3763
PET_048,C-C_C-H,284.8011,36826.936,0.45001,1.311,0.2487
PET_048,C-O,286.348,27245.816,0.33293,1.1642,0.3
PET_048,O-C=O,288.7428,17763.534,0.21706,1.2834,0.2295
PET_049,C-C_C-H,284.601,54949.168,0.50345,0.9903,0.4602
PET_049,C-O,286.2599,33347.671,0.30553,1.0955,0.4646
PET_049,O-C=O,288.6286,20848.792,0.19102,0.9781,0.3137
PET_050,C-C_C-H,284.8756,36862.798,0.4842,1.3383,0.2017
PET_050,C-O,286.276,21570.198,0.28333,1.3145,0.2386
PET_050,O-C=O,288.7088,17698.891,0.23248,1.273,0.45
